School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
ACADEMY OF EXCELLENCE         ,32,6,PO Box 427                    ,Eureka Springs      ,Ar,72632,Mrs ,Joan                ,               ,Smith                    ,EUREKA SPRINGS SCHOOL DISTRICT,802000,40,P ,8,N,N,N,
AMBASSADOR BAPTIST ACADEMY    ,32,6,1585 Tanner Road              ,MALVERN             ,AR,72104,    ,John                ,               ,Hrton                    ,MALVERN SCHOOL DISTRICT,3004000,0,K ,12,N,N,N,
AMBASSADOR BAPTIST ACADEMY    ,32,6,7 Lost Branch Ln              ,Greenbrier          ,AR,72058,Ms. ,Kim                 ,               ,Bonds                    ,GREENBRIER SCHOOL DISTRICT,2303000,42,K ,12,N,N,N,
ANH MONTESSORI SCHOOL         ,32,6,2730 N Woods Ln               ,Rogers              ,AR,72756,    ,Amanda              ,               ,Rumancik                 ,BENTONVILLE SCHOOL DISTRICT,401000,110,P ,6,N,N,N,
AVILLA CHRISTIAN ACADEMY - ALE,32,6,302 Avilla East               ,Alexander           ,AR,72002,Mr. ,Rich                ,               ,Meyers                   ,BRYANT SCHOOL DISTRICT,6303000,136,P ,12,Y,N,N,
BENTONVILLE 7TH DAY ADVENTIST ,32,6,2522 SE 14th St               ,Bentonville         ,AR,72712,    ,Renee               ,               ,Otts                     ,BENTONVILLE SCHOOL DISTRICT,401000,54,P ,8,N,N,N,
BENTONVILLE CHRISTIAN ACADEMY ,32,6,904 N Walton Blvd             ,Bentonville         ,AR,72712,    ,Amber               ,               ,Moore                    ,BENTONVILLE SCHOOL DISTRICT,401000,129,P ,4,N,N,N,
BETHEL CHRISTIAN SCHOOL       ,32,6,230 Polk Road 74              ,Mena                ,AR,71953,    ,Donna               ,               ,Sloan                    ,MENA SCHOOL DISTRICT,5703000,28,K ,12,N,N,N,
BETHEL CHRISTIAN SCHOOL       ,32,6,230 Polk 74                   ,Mena                ,AR,71953,Mrs.,Donna               ,               ,Sloan                    ,OUACHITA RIVER SCHOOL DISTRICT,5706000,8,K ,12,N,N,N,
BIBLE BAPTIST CHRISTIAN SCHOOL,32,6,PO  BOX 27                    ,OMAHA               ,AR,72662,MRS.,LINDA               ,               ,CRYER                    ,OMAHA SCHOOL DISTRICT,504000,8,K ,12,N,N,N,
BIBLE BAPTIST CHRISTIAN SCHOOL,32,6,12228 Humphreys Ln            ,Omaha               ,Ar,72662,Ms. ,Linda               ,               ,Cryer                    ,HARRISON SCHOOL DISTRICT,503000,14,P ,12,N,N,N,
BLESSED SACRAMENT - JONESBORO ,32,6,1105 East Highland            ,Jonesboro           ,AR,72401,    ,Mary                ,Kay            ,Jones                    ,NETTLETON SCHOOL DISTRICT,1611000,16,P ,6,Y,N,N,
BLESSED SACRAMENT - JONESBORO ,32,6,1105 E Highland               ,Jonesboro           ,AR,72401,    ,Mary Kay            ,               ,Jones                    ,JONESBORO SCHOOL DISTRICT,1608000,41,K ,6,Y,Y,N,
BLESSED SACRAMENT - JONESBORO ,32,6,1105 E. Highland Street       ,Jonesboro           ,AR,72401,Mrs.,Mary                ,Kathleen       ,Jones                    ,VALLEY VIEW SCHOOL DISTRICT,1612000,24,P ,6,Y,N,N,
CABOT MONTESSORI SCHOOL       ,32,6,4100 South Street             ,Cabot               ,Ar,72023,    ,Victoria            ,               ,Smith                    ,CABOT SCHOOL DISTRICT,4304000,25,P ,K ,N,N,N,
CALVARY CHRISTIAN ACADEMY - BE,32,6,908 Hwy 62 Spur               ,Berryville          ,AR,72616,Mr  ,Mitchell            ,               ,Scitern                  ,BERRYVILLE SCHOOL DISTRICT,801000,30,K ,12,N,N,N,
CALVARY CHRISTIAN ACADEMY -FOR,32,6,1611 North Washington         ,Forrest City        ,Ar,72335,    ,Suzanne             ,               ,Hess                     ,FORREST CITY SCHOOL DISTRICT,6201000,125,K ,12,N,N,N,
CAMDEN CHRISTIAN ACADEMY      ,32,6,1245 California Street        ,Camden              ,AR,71701,Ms  ,Kathy               ,               ,Wells                    ,CAMDEN FAIRVIEW SCHOOL DISTRICT,5204000,26,K ,12,N,N,N,
CATHOLIC HIGH SCHOOL FOR BOYS ,32,6,6300 FATHER TRIBOU ST.        ,LITTLE ROCK         ,AR,72205,MR. ,STEVE               ,               ,STRAESSLE                ,LITTLE ROCK SCHOOL DISTRICT,6001000,708,9,12,Y,Y,Y,
