School Name,EC,PK,K,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,Total
Central Union Church Preschool & Kindergarten,25,154,,,,,,,,,,,,,,179
Damien Memorial School,,,,,,,,,43,85,83,135,117,141,91,695
Hanahau'oli School,,27,27,28,27,27,25,23,26,,,,,,,210
Hawaii Baptist Academy,,,35,39,44,40,50,56,76,116,92,123,124,127,110,"1,032"
Hawaiian Mission Academy - 9-12 Campus,,,,,,,,,,,,26,19,28,23,96
Hawaiian Mission Academy Ka Lama Iki,,,15,10,10,10,10,15,15,15,15,,,,,115
Holy Nativity School,9,13,16,16,19,14,17,8,6,7,3,,,,,128
Hongwanji Mission School,,80,50,40,40,40,30,30,25,30,20,,,,,385
Honolulu Waldorf School,,39,39,13,13,17,7,14,16,6,5,,,,4,173
'Iolani School,,,96,95,71,69,68,70,136,178,190,274,274,259,240,"2,020"
Kaimuki Christian School,27,36,15,16,32,16,20,20,27,21,13,6,14,11,8,282
Kamehameha Schools,,,80,80,80,80,144,144,144,320,320,450,450,450,450,"3,192"
Kawaiaha'o Church School,17,71,11,3,2,2,2,0,0,,,,,,,108
La Pietra - Hawaii School for Girls,,,,,,,,,18,14,19,26,22,28,28,155
Mary Star of the Sea Early Learning Center,56,114,37,,,,,,,,,,,,,207
Mary Star of the Sea School,,,11,17,10,22,31,20,20,10,14,,,,,155
Maryknoll School,,,56,66,45,52,61,76,77,77,83,117,121,137,91,"1,059"
Mid-Pacific Institute,,32,36,44,44,45,45,44,115,140,150,200,206,212,217,"1,530"
Montessori Community School,16,84,23,17,13,19,8,10,8,,,,,,,198
Pacific Buddhist Academy,,,,,,,,,,,,17,28,17,13,75
Playmate Kindergarten Day Care Center & Grade School Ltd.,,14,,,,,,,,,,,,,,14
Punahou School,,,154,150,150,150,200,200,288,368,371,429,438,415,422,"3,735"
Sacred Hearts Academy,,22,21,23,29,26,38,32,47,60,65,86,94,79,88,710
Saint Louis School,,,16,20,18,24,26,29,51,98,115,112,137,119,118,883
Saint Theresa School,,24,16,17,22,28,22,25,25,28,25,,,,,232
Soto Academy,,,8,7,6,12,7,7,3,,,,,,,50
St. Andrew's Schools,,139,33,21,23,35,21,18,18,17,16,17,24,33,28,443
St. Clement's School,,105,22,,,,,,,,,,,,,127
St. John the Baptist Catholic School*,,19,17,10,11,10,6,6,7,5,12,,,,,103
St. Patrick School,,66,32,25,42,24,24,27,25,27,32,,,,,324
Waolani Judd Nazarene School,,82,37,18,14,21,18,13,16,5,5,,,,,229
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Calvary Chapel Christian School,,,10,11,15,10,11,18,13,18,14,24,5,16,7,172
Central Christian School*,20,20,10,,,,,,,,,,,,,50
Christian Academy,,55,20,19,13,18,15,24,19,18,9,14,9,8,10,251
Hanalani Schools,,56,45,41,34,38,37,34,42,42,48,48,56,40,45,606
Ho'ala School,,,9,10,2,2,5,2,2,2,3,,,,2,39
Holy Family Catholic Academy,,55,48,24,37,38,34,33,38,36,24,,,,,367
Navy Hale Keiki School,,68,43,30,30,22,17,8,,,,,,,,218
Our Savior Lutheran School,,38,11,10,14,10,15,12,10,6,7,,,,,133
St. Elizabeth School,,17,20,18,15,15,12,13,15,8,8,,,,,141
St. Michael School,,14,12,9,10,13,7,7,4,10,7,,,,,93
St. Philomena Early Learning Center,35,125,18,,,,,,,,,,,,,178
Trinity Lutheran School,,28,15,8,8,5,8,13,15,15,5,,,,,120
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Adventist Malama Elementary School,,,4,5,9,4,6,7,5,9,4,,,,,53
American Renaissance Academy,,,8,11,8,7,6,6,14,8,9,4,4,7,3,95
Friendship Christian Schools,,60,40,33,22,22,18,24,17,21,13,9,1,8,8,296
Island Pacific Academy,,,48,46,35,42,37,40,46,49,39,45,48,37,28,540
Lanakila Baptist Schools,,5,14,8,12,10,5,11,10,16,11,12,9,6,10,139
Maili Bible School,,,10,3,6,10,4,6,5,8,2,3,0,0,1,58
New Hope Christian School,13,108,10,12,12,7,8,7,7,5,,,,,,189
Our Lady of Perpetual Help School,,,17,16,14,8,8,7,13,10,21,,,,,114
Our Lady of Good Counsel School,,36,27,12,9,10,22,14,14,14,9,,,,,167
Pearl Harbor Christian Academy,,25,15,16,18,20,20,16,13,21,22,,,,,186
St. Joseph Parish School,,21,42,32,34,31,30,18,23,24,27,,,,,282
The Children's House,,158,78,32,23,19,8,7,5,,,,,,,330
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Asia Pacific International School Hawaii Campus,,6,6,6,6,6,6,15,15,15,15,15,15,15,15,156
Hawaiian Mission Academy - Windward Campus,,,8,10,6,9,8,6,5,9,2,,,,,63
Huakailani School for Girls,,,3,3,4,3,3,4,4,3,3,,,,,30
Ko'olau Baptist Academy,,,18,6,8,11,17,6,9,17,10,13,15,6,9,145
Le Jardin Academy,,76,38,49,46,52,45,60,67,60,68,65,65,61,40,792
Saint Mark Lutheran School,,43,25,18,15,17,20,13,25,23,16,,,,,215
St Anthony School Kailua,,58,26,27,19,27,26,20,24,20,22,,,,,269
St. Ann School,,72,10,13,11,13,7,10,5,18,6,,,,,165
St. John Vianney School,,33,17,11,14,14,17,12,11,10,15,,,,,154
Trinity Christian School,,49,28,39,25,24,23,26,19,21,8,8,20,10,11,311
Windward Nazarene Academy,,77,18,12,12,12,14,8,9,9,4,,,,,175
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
hristian Liberty Academy,,44,19,16,16,16,16,16,10,12,16,10,10,13,12,226
aili Christian School,,50,18,18,16,16,8,8,12,11,10,6,,,,173
awai'i Montessori Schools,24,53,3,,,,,,,,,,,,,80
awaii Preparatory Academy,,,9,19,19,17,21,23,29,33,29,79,93,105,92,568
amehameha Schools Hawai'i,,,40,40,40,40,48,48,108,108,108,144,144,144,144,"1,156"
ohala Adventist School,,,0,0,1,0,1,3,2,1,3,,,,,11
ona Adventist Christian School,,,2,2,1,1,4,0,1,3,1,,,,,15
uleana Education Academy,,,7,6,12,5,8,4,8,2,4,,,,,56
akua Lani Christian Academy,,16,24,20,20,19,17,20,22,36,21,26,25,22,24,312
alamalama Waldorf School,,38,8,9,9,11,6,7,8,10,7,,,,,113
auna Loa School,,,8,8,1,5,4,6,5,5,8,,,,,50
arker School,,,14,18,18,18,18,18,27,28,26,34,33,32,31,315
t. Joseph School,,49,8,14,9,13,9,7,8,12,7,5,15,4,13,173
aimea Country School,,,8,6,8,8,9,7,0,,,,,,,46
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Carden Academy of Maui,,12,16,18,16,18,18,18,13,17,15,,,,,161
Doris Todd Christian Academy,,33,18,19,9,19,10,10,18,14,13,2,4,2,0,171
Haleakala Waldorf School,23,21,21,18,13,17,19,22,20,26,16,16,17,10,2,261
Hawaiian Mission Academy Maui,,,0,2,0,1,1,2,2,3,4,,,,,15
Ka'ahumanu Hou Christian School,,60,8,5,4,,4,2,4,6,3,3,4,6,3,112
Kamehameha Schools Maui,,,40,40,40,48,48,48,110,108,108,140,120,120,120,"1,090"
Maui Preparatory Academy,,24,6,15,7,9,9,11,11,14,16,12,15,15,21,185
Montessori School of Maui,12,86,30,29,29,24,21,25,10,11,11,,,,,288
ROOTS School of Maui,,18,10,10,8,7,3,5,8,4,1,,,,,74
Sacred Hearts,,46,20,19,16,21,14,13,26,14,17,,,,,206
Seabury Hall,,,,,,,,,47,50,50,69,78,69,75,438
St. Anthony,,,30,25,27,23,17,21,26,29,28,14,5,22,12,279
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Island School,,45,23,23,23,23,25,25,32,34,38,38,35,25,35,424
Kahili Adventist School,,,4,2,3,1,3,2,2,2,1,,,,,20
Saint Catherine,,40,12,12,14,8,9,13,12,15,17,,,,,152
Saint Theresa,,34,20,12,12,15,12,5,13,8,3,,,,,134
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Aka'ula School,,,,,,,,3,8,13,6,2,2,4,0,38
,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Horizons Academy of Maui Inc.,,,,,,,,,,,2,,1,,1,4
Assets School,,,3,8,14,16,19,28,39,35,38,31,42,36,30,339
Variety School of Hawaii,,,2,3,4,4,1,3,4,4,2,4,2,2,6,41
