School Name,EC,PK,K,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,Total,,,,,,,,,,,,,,
Central Union Church Preschool & Kindergarten,26,143,,,,,,,,,,,,,,169,,,,,,,,,,,,,,
Damien Memorial School,,,,,,,,,29,44,63,145,104,105,105,595,,,,,,,,,,,,,,
Hanahau'oli School,,27,27,27,28,26,26,26,28,,,,,,,215,,,,,,,,,,,,,,
Hawaii Baptist Academy,,25,52,40,44,51,74,49,81,94,98,133,91,118,124,1074,,,,,,,,,,,,,,
Hawaiian Mission Academy - 9-12 Campus,,,,,,,,,,,,22,18,15,15,70,,,,,,,,,,,,,,
Hawaiian Mission Academy Ka Lama Iki,,,6,15,3,5,7,7,12,7,9,,,,,71,,,,,,,,,,,,,,
Holy Nativity School,10,17,21,16,15,13,17,10,9,,,,,,,128,,,,,,,,,,,,,,
Hongwanji Mission School,,80,47,43,50,36,35,33,27,15,21,,,,,387,,,,,,,,,,,,,,
Honolulu Waldorf School,,44,47,16,10,16,14,14,10,9,11,,,,,191,,,,,,,,,,,,,,
Iolani School,,,106,98,93,95,70,72,138,194,216,256,263,273,277,2151,,,,,,,,,,,,,,
Kaimuki Christian School,34,56,26,26,14,17,30,19,22,15,15,11,11,6,13,315,,,,,,,,,,,,,,
Kamehameha Schools Kapalama,,,80,80,80,80,144,144,144,320,320,450,450,450,450,3192,,,,,,,,,,,,,,
Kawaiaha'o Church School,20,57,4,5,4,1,2,3,0,,,,,,,96,,,,,,,,,,,,,,
La Pietra - Hawaii School for Girls,,,,,,,,,27,17,19,19,19,15,27,143,,,,,,,,,,,,,,
"Mary, Star of the Sea Early Learning Center",44,87,17,,,,,,,,,,,,,148,,,,,,,,,,,,,,
"Mary, Star of the Sea School",,,29,33,32,32,20,23,40,20,17,,,,,246,,,,,,,,,,,,,,
Maryknoll School,,,50,60,54,72,44,43,58,62,74,105,107,107,115,951,,,,,,,,,,,,,,
Mid-Pacific Institute,,33,36,45,43,51,45,48,106,105,142,169,192,187,197,1399,,,,,,,,,,,,,,
Montessori Community School,16,78,16,13,22,14,13,14,13,,,,,,,199,,,,,,,,,,,,,,
