Preliminary 12/13/2019,,,,
,,,,
New Hampshire Department of Education,,,,
Division of Education Analytics and Resources Bureau of Educational Statistics,,,,
"101 Pleasant Street, Concord NH 03301-3852",,,,
Telephone:(603) 271-2778,,,,
,,,,
Ed 315.05  Duties of Participating Agencies.  Resident district superintendents or nonpublic school ,,,,
principals as participating agencies shall maintain a list of all home education programs for which,,,,
" they have received notification.  This list shall contain the name, date of birth and address of each",,,,
" child for whom a home education program is established. On October 1 of each year, the ",,,,
participating agency shall notify the commissioner of the number of children for whom programs ,,,,
were established.  ,,,,
,,,,
Home Schooled Counts By District 2019 - 2020* Fall Enrollment,,,,
(Where The District Is The Participating Agent),,,,
,,,,
District Name ,Total,,District Name ,Total
Albany,0,,Exeter,9
Allenstown,10,,Fall Mountain Regional,19
Alton,6,,Franklin,30
Amherst,11,,Freedom,4
Andover,13,,Fremont,6
Ashland,1,,Gilford,7
Auburn,8,,Gilmanton,5
Barnstead,9,,Goffstown,21
Barrington,4,,Gorham Randolph Shelburne Cooperative,4
Bartlett,4,,Goshen,4
Bath,2,,Governor Wentworth Regional,40
Bedford,16,,Grantham,1
Benton,,,Greenland,3
Berlin,41,,Hampstead,23
Bethlehem,5,,Hampton,22
Bow,10,,Hampton Falls,0
Brentwood,2,,Hanover,10
Brookline,2,,Harrisville,2
Campton,10,,Hart's Location,0
Candia,5,,Haverhill Cooperative,28
Chatham,0,,Henniker,3
Chester,18,,Hillsboro-Deering Cooperative,21
Chesterfield,9,,Hinsdale,22
Chichester,1,,Holderness,1
Concord,17,,Hollis,9
Contoocook Valley,43,,Hollis-Brookline Cooperative,4
Conway,18,,Hooksett,14
Cornish,0,,Hopkinton,10
Croydon,2,,Hudson,47
Deerfield,9,,Inter-Lakes Cooperative,9
Derry Cooperative,47,,Jackson,2
Dover,41,,Jaffrey-Rindge Cooperative,27
Dresden,14,,John Stark Regional,8
Dunbarton,0,,Kearsarge Regional,126
East Kingston,0,,Keene,58
Eaton,1,,Kensington,0
Epping,20,,Laconia,33
Epsom,12,,Lafayette Regional,
Errol,,,Landaff,
Exeter Region Cooperative,11,,Lebanon,17
Lempster,0,,Piermont,2
Lincoln-Woodstock Cooperative,3,,Pittsfield,10
Lisbon Regional,11,,Plainfield,11
Litchfield,9,,Plymouth,18
Littleton,34,,Portsmouth,7
Londonderry,34,,Profile,6
Lyme,3,,Raymond,14
Madison,2,,Rochester,87
Manchester,655,,Rollinsford,1
Marlborough,3,,Rumney,15
Marlow,4,,Rye,4
Mascenic Regional,122,,Salem,11
Mascoma Valley Regional,19,,Sanborn Regional,14
Mason,3,,Seabrook,8
Merrimack,20,,Shaker Regional,21
Merrimack Valley,47,,Somersworth,10
Middleton,1,,Souhegan Cooperative,4
Milan,3,,South Hampton,0
Milford,18,,Stark,5
Milton,12,,Stoddard,2
Monadnock Regional,27,,Strafford,35
Monroe,0,,Stratford,0
Mont Vernon,6,,Stratham,2
Moultonborough,9,,Sunapee,4
Nashua,132,,Thornton,12
Nelson,0,,Timberlane Regional,17
New Boston,14,,Wakefield,5
New Castle,,,Warren,2
Newfields,0,,Washington,3
Newfound Area ,27,,Waterville Valley,3
Newington,5,,Weare,11
Newmarket,7,,Wentworth,13
Newport,28,,Westmoreland,1
North Hampton,5,,White Mountains Regional,18
Northumberland,4,,Wilton-Lyndeborough Cooperative,7
Northwood,33,,Winchester,14
Nottingham,28,,Winnacunnet Cooperative,7
Oyster River Coop,54,,Winnisquam Regional,27
Pembroke,8,,Total Pubic Districts,"2,952"
Pemi-Baker Regional,60,,,
,,,Other,
Public Academies and Joint Maintenance Agreement,,,Dept. of Ed is the Participating Agent,3
Coe-Brown Northwood Academy,0,,A Private School is the Participating Agent,
Pinkerton Academy,0,,Total,3
Prospect Mountain JMA,0,,,
Total,0,,Final State Totals - Home Schooled,
,,,Public Districts,"2,952"
Public Charter Schools,,,Public Academis and JMA's,0
No Charter Schools act as participating,,,Public Charter Schools,0
agents for home schooled students.,,,Other,3
Total,0,,State Total,"2,955"
