Revised 12/31/2020,,,,,,,,,,,,,,,,,,,,,
"New Hampshire Department of Education
Division of Analytics and Resources
Bureau of Educational Statistics
101 Pleasant Street, Concord NH 03301-3852
Telephone:(603) 271-2778",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"2020-2021 Nonpublic School Enrollment in New Hampshire by Grade and Town
As of October 1st, 2020",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SchID,School Name,Town,PS,KG,RE,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,PG,UGEL,UGSE,Total
,State Total,,1179,847,14,775,750,733,768,767,878,946,938,1635,1873,1970,1997,121,27,76,16294
28405,2nd Nature Academy/Nature of Things,Nashua,48,15,0,11,5,8,10,6,11,10,6,1,5,2,0,0,0,0,138
29218,Acton Academy New Hampshire,Laconia,0,7,0,4,2,4,3,1,1,1,0,0,0,0,0,0,0,0,23
29226,Ashuelot Valley Academy,Keene,0,0,0,0,0,0,0,0,3,1,9,1,1,2,7,0,0,0,24
27610,Bethlehem Christian School,Bethlehem,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,0,8
20320,Bishop Brady High School,Concord,0,0,0,0,0,0,0,0,0,0,0,60,55,71,69,2,0,0,257
21880,Bishop Guertin High School,Nashua,0,0,0,0,0,0,0,0,0,0,0,157,209,205,209,0,0,0,780
22420,Brewster Academy,Wolfeboro,0,0,0,0,0,0,0,0,0,0,0,52,75,89,88,44,0,0,348
29207,Building Block Commons,Exeter,50,10,0,10,2,7,4,3,2,0,1,0,0,0,0,0,0,0,89
22360,Calvary Christian School,Plymouth,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3
28585,Capital Christian School,Concord,0,1,0,1,2,1,2,1,0,1,1,0,0,0,0,0,0,0,10
21320,Cardigan Mountain School,Canaan,0,0,0,0,0,0,0,0,15,50,78,60,0,0,0,0,0,0,203
21570,Cardinal Lacroix Academy,Manchester,8,12,0,15,16,17,17,15,23,0,0,0,0,0,0,0,0,0,123
21220,Cedarcrest School,Keene,2,0,0,1,1,2,0,2,0,0,3,1,1,1,4,0,0,0,18
29220,Chesterbrook School of Natural Learning,Chester,28,13,0,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,56
21870,Christian Bible Church Academy,Nashua,0,2,0,2,1,3,3,1,5,1,0,2,1,2,1,0,0,0,24
20150,Claremont Christian Academy (Elementary),Claremont,6,9,0,8,8,4,10,10,0,0,0,0,0,0,0,0,0,0,55
29236,Claremont Christian Academy (Jr/Sr High),Charlestown,0,0,0,0,0,0,0,0,10,9,8,6,6,7,3,0,0,0,49
21905,Clearway High School,Nashua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
29212,Compass Academy,Concord,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20290,Concord Christian Academy,Concord,9,20,0,16,15,16,23,13,19,19,23,18,27,31,23,0,0,0,272
22435,Cornerstone Christian Academy,Ossipee,17,5,0,10,4,4,2,1,3,4,2,0,0,0,0,0,0,0,52
28540,Country Village Montessori School,Amherst,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,12
26885,Crossroads Academy,Lyme,0,12,0,18,13,12,17,17,13,13,17,0,0,0,0,0,0,0,132
