Preliminary 11/30/2021,,,,,,,,,,,,,,
"New Hampshire Department of Education
  Division of Education Analytics and Resources
  Bureau of Educational Statistics
  101 Pleasant St., Concord, NH 03301-3852
  Telephone: (603) 271-2778",,,,,,,,,,,,,,
"Home Schooled Counts By District 2021 - 2022
Where The District Is The Participating Agent",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
District ID,District Name ,,,,Total,,,District ID,District Name ,,,,Total,
9,Allenstown,,,,10,,,173,Exeter,,,,16,Pembroke SAU Office (53)
15,Alton,,,,19,,,174,Fall Mountain Regional,,,,46,Alton SAU Office (72)
17,Amherst,,,,38,,,175,Farmington,,,,28,Amherst SAU Office (39)
19,Andover,,,,9,,,185,Franklin,,,,50,Merrimack Valley SAU Office (46)
23,Ashland,,,,5,,,187,Freedom,,,,1,Inter-Lakes Cooperative SAU Office (2)
29,Auburn,,,,7,,,189,Fremont,,,,6,Hooksett SAU Office (15)
31,Barnstead,,,,19,,,191,Gilford,,,,16,Barnstead SAU Office (86)
33,Barrington,,,,10,,,195,Gilmanton,,,,5,Barrington SAU Office (74)
35,Bartlett,,,,24,,,199,Goffstown,,,,37,Conway SAU Office (9)
39,Bath,,,,25,,,203,Gorham Randolph Shelburne Cooperative,,,,9,Haverhill Cooperative SAU Office (23)
41,Bedford,,,,31,,,208,Governor Wentworth Regional,,,,84,Bedford SAU Office (25)
51,Berlin,,,,22,,,211,Grantham,,,,7,Berlin SAU Office (3)
53,Bethlehem - data not provided,,,,,,,215,Greenland,,,,10,SAU #35 Office (35)
57,Bow,,,,19,,,223,Hampstead - data not provided,,,,,Bow SAU Office (67)
63,Brentwood,,,,7,,,225,Hampton,,,,32,Exeter SAU Office (16)
71,Brookline,,,,17,,,227,Hampton Falls,,,,6,Hollis-Brookline SAU Office (41)
75,Campton,,,,9,,,233,Hanover,,,,10,Plymouth SAU Office (48)
79,Candia,,,,2,,,235,Harrisville,,,,11,Hooksett SAU Office (15)
93,Chester,,,,11,,,238,Haverhill Cooperative,,,,126,Chester SAU Office (82)
95,Chesterfield,,,,9,,,245,Henniker,,,,14,Keene SAU Office (29)
99,Chichester,,,,19,,,247,Hill - data not provided ,,,,,Pembroke SAU Office (53)
101,Claremont,,,,55,,,251,Hillsboro-Deering Cooperative,,,,34,Claremont SAU Office (6)
