SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY_CODE,COUNTY,CITY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHOICE_IND,DISTRICT_NAME,SCHOOL_NAME,LOW_GRADE,HIGH_GRADE,GRADE_LEVEL,GRADE_LEVEL_DESC,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,1,1,All Students,All Students,9830
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,2,2,All Students,All Students,9490
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,3,3,All Students,All Students,9383
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,4,4,All Students,All Students,9313
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,5,5,All Students,All Students,9046
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,6,6,All Students,All Students,9075
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,7,7,All Students,All Students,8910
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,8,8,All Students,All Students,9077
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,9,9,All Students,All Students,6802
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,10,10,All Students,All Students,6220
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,11,11,All Students,All Students,5726
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,12,12,All Students,All Students,5567
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,K4,4-year-old Kindergarten,All Students,All Students,8164
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,KG,5-year-old Kindergarten,All Students,All Students,9817
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,PK,Pre-kindergarten,All Students,All Students,4760
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,UE,Ungraded Elementary,All Students,All Students,545
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,US,Ungraded Secondary,All Students,All Students,4
2021-22,,,,,,0,,[All],,[Statewide],[Statewide],,,All Grades,All Grades,All Students,All Students,121729
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,All Grades,All Grades,All Students,All Students,48
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,1,1,All Students,All Students,3
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,2,2,All Students,All Students,6
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,3,3,All Students,All Students,2
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,4,4,All Students,All Students,4
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,5,5,All Students,All Students,7
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,6,6,All Students,All Students,3
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,7,7,All Students,All Students,3
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,8,8,All Students,All Students,5
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,9,9,All Students,All Students,4
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,10,10,All Students,All Students,2
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,11,11,All Students,All Students,2
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,12,12,All Students,All Students,0
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,K4,4-year-old Kindergarten,All Students,All Students,2
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,KG,5-year-old Kindergarten,All Students,All Students,5
2021-22,School District,10,10,Clark,,7,,[All],,Abbotsford,[Districtwide],,,PK,Pre-kindergarten,All Students,All Students,0
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,1,1,All Students,All Students,3
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,2,2,All Students,All Students,6
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,3,3,All Students,All Students,2
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,4,4,All Students,All Students,4
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,5,5,All Students,All Students,7
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,6,6,All Students,All Students,3
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,7,7,All Students,All Students,3
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,8,8,All Students,All Students,5
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,9,9,All Students,All Students,4
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,10,10,All Students,All Students,2
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,11,11,All Students,All Students,2
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,12,12,All Students,All Students,0
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,K4,4-year-old Kindergarten,All Students,All Students,2
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,KG,5-year-old Kindergarten,All Students,All Students,5
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,PK,Pre-kindergarten,All Students,All Students,0
2021-22,Private school,10,10,Clark,Abbotsford,7,5,Combined Elementary/Secondary School,No,Abbotsford,Abbotsford Christian Academy,K4,12,All Grades,All Grades,All Students,All Students,48
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,All Grades,All Grades,All Students,All Students,77
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,1,1,All Students,All Students,10
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,2,2,All Students,All Students,13
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,3,3,All Students,All Students,7
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,4,4,All Students,All Students,10
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,5,5,All Students,All Students,2
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,6,6,All Students,All Students,3
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,7,7,All Students,All Students,2
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,8,8,All Students,All Students,2
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,9,9,All Students,All Students,0
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,10,10,All Students,All Students,0
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,11,11,All Students,All Students,0
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,12,12,All Students,All Students,0
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,K4,4-year-old Kindergarten,All Students,All Students,2
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,KG,5-year-old Kindergarten,All Students,All Students,8
2021-22,School District,7,31,Kewaunee,,70,,[All],,Algoma,[Districtwide],,,PK,Pre-kindergarten,All Students,All Students,18
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,1,1,All Students,All Students,1
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,2,2,All Students,All Students,3
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,3,3,All Students,All Students,1
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,4,4,All Students,All Students,7
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,5,5,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,6,6,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,7,7,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,8,8,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,9,9,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,10,10,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,11,11,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,12,12,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,K4,4-year-old Kindergarten,All Students,All Students,2
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,KG,5-year-old Kindergarten,All Students,All Students,1
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,PK,Pre-kindergarten,All Students,All Students,2
2021-22,Private school,7,31,Kewaunee,Algoma,70,5855,Elementary School,Yes,Algoma,Saint Mary Grade School,K4,8,All Grades,All Grades,All Students,All Students,17
